No,Financial Year Name,Season Name,District Name ,Taluk Name ,Raitha Samparka Kendra Name,Seed Name ,Seed Variety Name,Seed Class Name,GENERAL QUANTITY in Quintal,SCP QUANTITY in Quintal,TSP QUANTITY in Quintal
1,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,GREENGRAM,BGS-9,Certified Seeds,10.1,2.93,1.2
2,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,GREENGRAM,BGS-9,Truthfully Labelled,8.6,0.8,0.6
3,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,1827,Truthfully Labelled,1.73,0.35,0.2
4,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,GK-1044,Truthfully Labelled,5.94,1.3,0.65
5,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,JKBH-26,Truthfully Labelled,1.05,0.06,0.12
6,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,3.9,0.53,0.21
7,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,MRB-2262,Truthfully Labelled,0.23,0,0
8,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,NBH-4903 BALAWAN,Truthfully Labelled,0.21,0,0.02
9,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY BAJRA,SBH-7072,Truthfully Labelled,2.24,0.33,0.12
10,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY JOWAR,HTJH- 3208,Truthfully Labelled,0,0,0.03
11,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY JOWAR,JKSH-22,Truthfully Labelled,1.26,0.03,0.12
12,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,3033 747,Truthfully Labelled,3.32,1.52,0.08
13,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,30B07,Truthfully Labelled,35.36,4.12,0.36
14,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,3591,Truthfully Labelled,6.52,0.76,0.6
15,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,900M GOLD,Truthfully Labelled,20.92,3.44,1.24
16,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,ALLROUNDER,Truthfully Labelled,9.56,0.48,0.16
17,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,BIO-151,Truthfully Labelled,2.2,0.28,0.12
18,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,CP-818,Truthfully Labelled,29.36,4.8,2.72
19,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,DKC-9126 IJ-8512,Truthfully Labelled,7.88,0.52,0.68
20,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3018,Truthfully Labelled,2.4,0.56,0.88
21,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3045,Truthfully Labelled,21.76,6.96,2.72
22,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3059,Truthfully Labelled,27.92,4.28,1.2
23,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,GK-3164,Truthfully Labelled,2.4,0.92,0
24,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,HTMH-5203,Truthfully Labelled,2.84,0.8,0.36
25,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,HTMH-5402,Truthfully Labelled,13.48,1.52,0.96
26,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,JKMH-4848,Truthfully Labelled,2.68,0.04,0.04
27,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KAVERI 25K55,Truthfully Labelled,32.28,7.96,2.84
28,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KHHM-102,Truthfully Labelled,0.16,0,0
29,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KMH-244,Truthfully Labelled,25.64,6.68,2.92
30,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,KMH-517 SHIMSHA,Truthfully Labelled,15.96,2.72,0.68
31,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,NK-6240,Truthfully Labelled,9.4,1.08,1.08
32,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,NMH-007 BOND,Truthfully Labelled,0.36,0,0.16
33,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,P3436,Truthfully Labelled,5.36,0.36,0.44
34,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,PAC740,Truthfully Labelled,3.76,0.36,0.52
35,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,PAC751,Truthfully Labelled,18.92,4.2,1.76
36,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,RAJKUMARBIO-716,Truthfully Labelled,4.16,1.6,1.52
37,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY MAIZE,SMH-3516,Truthfully Labelled,0.32,0,0
38,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY SUNFLOWER,GK-2002,Truthfully Labelled,2.1,0.38,0.16
39,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY SUNFLOWER,KSFH-7049CHAMP,Truthfully Labelled,1.92,0.1,0.02
40,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,HY SUNFLOWER,PAC-334,Truthfully Labelled,2.46,0.16,0.32
41,2021-2022,Kharif,BAGALAKOTE,BADAMI,BADAMI,REDGRAM,TS-3R,Certified Seeds,1.35,0.35,0.25
42,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,GREENGRAM,BGS-9,Certified Seeds,10.05,1.3,0.75
43,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,GREENGRAM,BGS-9,Truthfully Labelled,12.85,1.55,2.4
44,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,1827,Truthfully Labelled,0.3,0,0
45,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,GK-1044,Truthfully Labelled,1.22,0.05,0.15
46,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,HANUMAN,Truthfully Labelled,13.58,1.44,1.79
47,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,KAVERI SUPER BOSS,Truthfully Labelled,7.29,1.2,1.08
48,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,MRB-2262,Truthfully Labelled,0.05,0,0
49,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,SBH-7072,Truthfully Labelled,0.03,0,0
50,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY BAJRA,VIKASNBJ-09,Truthfully Labelled,0.03,0.09,0
51,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,3033 747,Truthfully Labelled,0.8,0.4,0.16
52,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,3591,Truthfully Labelled,2.04,1.92,0.84
53,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,900M GOLD,Truthfully Labelled,39.76,6.08,2.64
54,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,BIO-151,Truthfully Labelled,2.04,0.32,0.28
55,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,CP-818,Truthfully Labelled,46.56,7.52,4.68
56,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,GK-3045,Truthfully Labelled,1.44,0.36,0.2
57,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,GK-3059,Truthfully Labelled,1.68,0.24,0
58,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,HTMH-5108,Truthfully Labelled,0.44,0,0
59,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,HTMH-5402,Truthfully Labelled,7.36,1.2,0.52
60,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,JKMH-4848,Truthfully Labelled,0.24,0.08,0
61,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,KAVERI 25K55,Truthfully Labelled,12.8,2.64,1.64
62,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,KMH-244,Truthfully Labelled,17.96,5.6,2.52
63,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,KMH-517 SHIMSHA,Truthfully Labelled,24.32,2.52,1.48
64,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,NLM-66,Truthfully Labelled,13.48,2,1.08
65,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,NMH-77NUTOTAL,Truthfully Labelled,1.92,0.36,0.36
66,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,PAC740,Truthfully Labelled,3.96,0.64,0.16
67,2021-2022,Kharif,BAGALAKOTE,BADAMI,KERURA,HY MAIZE,PAC751,Truthfully Labelled,2.52,0.48,1
